first_name,email,date,code_time,soft_index,tech_index
Grady,gchadderton1b@friendfeed.com,2018-03-20,7146,0.021,0.6
Christoph,ccharnick1c@narod.ru,2018-12-27,4817,0.594,0.696
Rudolf,rposkitt1d@sourceforge.net,2018-02-08,3505,0.393,0.515
Meryl,mhagger1e@zimbio.com,2018-02-08,5340,0.118,0.675
Nan,nabram1f@addthis.com,2018-08-17,646,0.894,0.88
Danna,dmalletratt1g@amazon.de,2018-07-23,1086,0.27,0.001
Sanson,sbusson1h@msn.com,2018-12-02,157,0.388,0.921
Bellanca,belles1i@samsung.com,2018-05-31,4902,0.509,0.661
Karlen,klarchier1j@themeforest.net,2018-03-20,1663,0.834,0.694
Bradney,bfelderer1k@t-online.de,2018-02-28,5958,0.22,0.01
Lita,lchadbourne1l@livejournal.com,2018-11-15,5382,0.086,0.345
Cornie,ccoch1m@sfgate.com,2018-03-16,299,0.603,0.285
Kenyon,kcasbon1n@exblog.jp,2018-06-25,644,0.339,0.487
Tamiko,tsutherby1o@google.com,2018-06-29,1850,0.952,0.721
Bary,bpetri1p@ft.com,2018-08-21,764,0.441,0.034
Alejandrina,abilt1q@biglobe.ne.jp,2018-08-25,7037,0.447,0.321
Oswell,odavidzon1r@google.it,2018-04-22,3287,0.161,0.215
Jena,jrothchild1s@spiegel.de,2018-12-02,5229,0.391,0.488
Mavis,mhuddart1t@sciencedaily.com,2019-01-31,2550,0.858,0.292
Cecile,cbagnold1u@163.com,2018-06-13,4517,0.898,0.356
Iris,ielvish1v@amazon.de,2018-04-18,2120,0.353,0.336
Vince,vmarcu1w@senate.gov,2018-12-07,872,0.25,0.488
Anabal,achesswas1x@bigcartel.com,2019-01-13,5913,0.522,0.188
Diahann,dnorthfield1y@reuters.com,2018-10-14,3343,0.108,0.658
Oralle,oswateridge1z@irs.gov,2018-08-08,551,0.612,0.425
Garfield,gstraw20@prnewswire.com,2019-01-13,6287,0.715,0.819
Noland,nbreydin21@odnoklassniki.ru,2018-08-26,6702,0.126,0.476
Micheil,mhaugh22@a8.net,2018-11-10,4468,0.059,0.477
Candida,cgaunt23@desdev.cn,2018-06-12,3711,0.515,0.97
Emlyn,ebiers24@opera.com,2018-03-19,806,0.155,0.609
Vivian,vgamet25@ovh.net,2018-08-02,3316,0.054,0.425
Piotr,pruggier26@soup.io,2018-11-15,2825,0.398,0.761
Britta,bnellen27@japanpost.jp,2018-09-26,4669,0.209,0.357
Padgett,pspargo28@xrea.com,2019-01-24,6407,0.314,0.327
Jasper,jbantock29@cam.ac.uk,2018-12-28,79,0.718,0.736
Raf,rcalafate2a@dedecms.com,2018-08-08,3700,0.767,0.742
Marchall,mbeneyto2b@sun.com,2018-12-08,7066,0.578,0.173
Justis,jferruzzi2c@walmart.com,2018-04-29,3810,0.013,0.447
Andie,apuxley2d@tripadvisor.com,2018-09-02,2024,0.78,0.366
Dani,dmcglynn2e@amazonaws.com,2018-04-08,3203,0.246,0.155
Rochette,rpriddey2f@php.net,2019-01-11,3471,0.56,0.094
Annemarie,ajohannesson2g@reverbnation.com,2018-09-24,7125,0.021,0.133
Wildon,wsalandino2h@go.com,2019-01-01,6002,0.951,0.567
Ariela,amcmeekan2i@toplist.cz,2018-11-27,5910,0.747,0.364
Gillan,goneil2j@cmu.edu,2018-10-11,3236,0.109,0.694
Zachery,zvenditto2k@ted.com,2018-12-29,2052,0.151,0.258
Lynnea,lramsbottom2l@cocolog-nifty.com,2018-03-27,5783,0.513,0.705
Livy,lcust2m@xing.com,2018-08-06,4802,0.258,0.329
Rachael,rplumer2n@angelfire.com,2018-09-02,4374,0.162,0.626
Nikki,nflockhart2o@miitbeian.gov.cn,2018-05-08,4918,0.233,0.287
Lucais,lcoley2p@google.co.uk,2018-12-04,2253,0.303,0.752
Quinn,qbratt2q@imageshack.us,2018-04-02,5141,0.916,0.172
Maribelle,mcowl2r@naver.com,2018-10-27,4014,0.061,0.441
